ds,y,yhat,yhat_lower,yhat_upper,effect
2021-07-01,124099,132256.3563837115,119424.89488040085,144029.8671092674,-8157.356383711507
2021-08-01,122253,124320.43569033405,111902.40268819402,137263.13462396146,-2067.435690334052
2021-09-01,119861,119819.62588579122,107018.04920118317,133038.08618099566,41.374114208781975
2021-10-01,118979,122258.79669962867,109038.13050627871,135111.59674626257,-3279.7966996286705
2021-11-01,119228,117440.1630272413,104843.5149721944,129943.18657973311,1787.8369727586978
2021-12-01,112257,110621.45194704487,97209.7006945957,123403.72176932472,1635.5480529551278
2022-01-01,119430,119274.06980652372,106858.97353565416,131931.6532162849,155.93019347627705
2022-02-01,114091,111985.07149874324,98461.36199781911,124547.05890242895,2105.928501256756
2022-03-01,123576,127763.67943750943,114316.07272024898,140326.01221337303,-4187.679437509432
2022-04-01,114392,121797.82604740263,108927.85002103914,133822.7306881409,-7405.826047402632
2022-05-01,116316,120780.7663073085,107699.8487949003,133248.15970945166,-4464.766307308499
2022-06-01,111718,109576.23091059303,96828.59246434995,122365.12384516823,2141.7690894069674
2022-07-01,111030,112461.79224500274,99660.30385161653,125536.30122634306,-1431.79224500274
2022-08-01,113014,103589.34992667471,90349.92044002344,116612.57021873322,9424.65007332529
2022-09-01,103929,97776.25762350557,84188.15469107112,109296.99106664838,6152.742376494425
2022-10-01,106327,102911.34292873544,89463.80658114402,116130.91104718515,3415.6570712645625
2022-11-01,109691,95968.20924191341,83408.73670309233,109483.32534162291,13722.790758086587
2022-12-01,96706,83335.04129357598,71000.9221916696,95682.90624702281,13370.958706424019
2023-01-01,97149,95586.52680909807,81715.26414908284,108260.99154604955,1562.473190901932
2023-02-01,85939,91372.55675575482,77715.12886766858,104887.88079352204,-5433.55675575482
2023-03-01,87478,111687.37869136805,99269.04571964404,125111.1805645398,-24209.378691368052
2023-04-01,68721,97344.35754657784,83785.2041494462,110101.68560074246,-28623.35754657784
2023-05-01,66730,96137.48149653246,82842.30649665321,109067.15275391012,-29407.481496532462
2023-06-01,63823,84779.83668172116,71181.71706589832,98388.39440729983,-20956.836681721164
2023-07-01,62905,92748.9752881549,79567.8870229598,106051.98197483773,-29843.975288154907
2023-08-01,60271,82862.44119074062,70391.77183508156,96828.21653018583,-22591.441190740617
2023-09-01,52993,75743.62702615454,62471.23511829835,89926.67432592044,-22750.627026154543
2023-10-01,52657,83524.44126532847,69302.04325504768,97456.1502345353,-30867.441265328467
2023-11-01,50506,74372.0593296364,61095.89863681556,87085.650651362,-23866.059329636395
