ds,y,yhat,yhat_lower,yhat_upper,effect
2019-01-01,0.141631541218638,0.17538936589567988,0.14872349176890506,0.20130971795867147,-0.03375782467704189
2019-02-01,0.1655017857142857,0.16074665985531275,0.133912298551441,0.1865157547940897,0.004755125858972947
2019-03-01,0.14048691756272402,0.1527071061067472,0.12589179807717796,0.17775930735337653,-0.01222018854402318
2019-04-01,0.16637814814814814,0.15576763529578913,0.1319757353445668,0.18155850882932303,0.010610512852359005
2019-05-01,0.16946326164874553,0.17507024677974092,0.15106366312131606,0.19876978408589352,-0.00560698513099539
2019-06-01,0.12633611111111112,0.1253669998637972,0.09965775014804179,0.14951427528968947,0.0009691112473139141
2019-07-01,0.12971469534050178,0.125919462223142,0.09946278035608058,0.1499647951668225,0.0037952331173597975
2019-08-01,0.159605376344086,0.16681233177702193,0.14137773805080675,0.19334677078586804,-0.007206955432935924
2019-09-01,0.1791337037037037,0.18032692896261973,0.15460666067337783,0.2068266589467395,-0.0011932252589160197
2019-10-01,0.1374682795698925,0.13669779605525817,0.11241281670279003,0.1598503722807401,0.0007704835146343236
2019-11-01,0.13495314814814816,0.14850521678673473,0.1215102005631636,0.17516485463569528,-0.013552068638586573
2019-12-01,0.1675795698924731,0.17396240477946245,0.14840853051536113,0.20105935019333307,-0.006382834886989347
2020-01-01,0.19785089605734768,0.19165495154396092,0.16466336120023045,0.21765686776216076,0.0061959445133867586
2020-02-01,0.1384626436781609,0.16263827088316576,0.13630199918021077,0.18650602557731538,-0.02417562720500485
2020-03-01,0.19625089605734766,0.18642275113531465,0.1608425854571328,0.21066514119138688,0.009828144922033016
2020-04-01,0.16756462962962962,0.1457738191771255,0.11937746937224057,0.172413723430788,0.02179081045250411
2020-05-01,0.1605353046594982,0.14694538242315827,0.12222062881056041,0.17491893609245365,0.013589922236339924
2020-06-01,0.16682648148148146,0.14966654092572398,0.12242380463808171,0.17569902778630186,0.01715994055575748
2020-07-01,0.17272849462365591,0.16608883509627514,0.1399068728138427,0.19238927632935462,0.00663965952738077
2020-08-01,0.15689856630824373,0.1565348246154179,0.13103677667397726,0.18139139696818296,0.00036374169282582525
2020-09-01,0.16653296296296297,0.17044043640123516,0.14504530987771494,0.19556577815472634,-0.003907473438272191
2020-10-01,0.158123835125448,0.1583290137430328,0.13246830961418019,0.18522100117369314,-0.00020517861758478917
2020-11-01,0.16212925925925928,0.16369615144525207,0.13815442234475206,0.19056597195479202,-0.001566892185992791
2020-12-01,0.19619534050179213,0.17665272691080236,0.15054011915095153,0.20411813713878468,0.01954261359098977
2021-01-01,0.189115770609319,0.1725882377253368,0.14749737554063913,0.19993123905997054,0.016527532883982204
2021-02-01,0.18733075396825397,0.1854625721482971,0.15909506136421328,0.21174427433782794,0.0018681818199568767
2021-03-01,0.19352204301075268,0.18320999086659553,0.15461845153834095,0.20870423560318752,0.010312052144157147
2021-04-01,0.15501925925925927,0.15609487353020035,0.12890551495259203,0.1814220002396267,-0.0010756142709410776
2021-05-01,0.15355806451612902,0.16287070628016265,0.13648117925061629,0.18603193515623093,-0.009312641764033625
2021-06-01,0.1300801851851852,0.14731254462924187,0.12315953972933494,0.17318331349103674,-0.017232359444056683
2021-07-01,0.15939856630824373,0.15709243902796757,0.12997850964909136,0.18275283359015718,0.0023061272802761545
2021-08-01,0.1654652329749104,0.16332403856477748,0.13761582690339816,0.18647795883626614,0.002141194410132913
2021-09-01,0.19592055555555557,0.17648063979903272,0.1517903682960255,0.20085149211024741,0.019439915756522846
